Tanggal,Komentar,SE
2021-08-14 15:45:38,Bogor ke jambi apakah harus ada sertifikat vaksin,SE Satgas-17-2021
2021-08-14 21:40:17,Min kalo dari ambon ke jakarta persyaratan nya apa aja? Apakah wajib pakai PCR nya min?,SE Satgas-17-2021
2021-08-15 5:24:50,Merak ke bakauheni apakah harus ada surat vaksin kak mohon di jawab terimakasih,SE Satgas-17-2021
2021-08-15 7:40:39,"kalau dari semarang ke kumai pakai antigen bisa gak min,",SE Satgas-17-2021
2021-08-15 23:23:11,"Min mau bertanya.. Medan-Jakarta itu tanggal 17/08 kan.. itu buat yg ber ktp jakarta, berangkat dari medan ke jakarta apakah harus tes PCR? Apa boleh tes rapid/ swab antigen? Mohon responnya min..",SE Satgas-17-2021
2021-08-16 2:46:41,"Ada perubahan peraturan gak ya dari antigen harus PCR utk keberangkatan Belawan - tanjung balai Karimun utk 17-08-2021, takut udh sampai pelabuhan ada perubahan peraturan krn bulan semalam gitu juga, sudah antigen tapi harus PCR, mohon infonya !!",SE Satgas-17-2021
2021-08-16 3:37:27,Maaf law dri balikppan Pantoloan harus pke kartu vaksin kah? Apa boleh pke surat keterangan dari lurah karena KTP sulawesi TDK bisa vaksin di Kalimantan?,SE Satgas-17-2021
2021-08-16 5:32:53,Min kalo misalkan belum vaksin di karenakan stok vaksin dosis pertama lagi habis bagaimana min? sedangkan akhir bulan harus berangkat,SE Satgas-17-2021
2021-08-16 6:04:39,Tabe kak @pelni162 klau dari pelabuhan Makassar tujuan pelabuhan bau2 apakah pakai test swab antigen mohon infonya,SE Satgas-17-2021
2021-08-16 14:54:26,Jadwal Bali -Waingapu harus pcr atau rapid Antigen,SE Satgas-17-2021
2021-08-16 16:15:40,Untuk Makassar ke Jakarta bisa antigen saja kah atau Pcr test ? Tolong dijawab ya min,SE Satgas-17-2021
2021-08-17 5:05:52,"Min, jika tidak bisa vaksin karna penyakit bawaan, dan sudah dpt surat keterangan medis dari dokter spesialis rs swasta, apa bisa berlaku utk menggantikan sertifikat vaksin? Utk rute jakarta-batam",SE Satgas-17-2021
2021-08-17 10:23:11,Untuk perjalanan samarang -pontiank cukup menggunakan test antigen atau harus pcr min,SE Satgas-17-2021
2021-08-17 16:31:11,Min dari Makasar - Lombok persyaratan harus sudah vaksin atau bisa swab aja ?,SE Satgas-17-2021
2021-08-18 8:53:00,Jadwal Ambon surabaya kpan ya  min? Dan syaratnya hrus pcr atau antigen ?,SE Satgas-17-2021
2021-08-19 3:13:37,Kalo dari Makassar ke bau bau musti pakai surat vaksin juga kak,SE Satgas-17-2021
2021-08-19 7:23:20,Makassar ke balikpapan apa harus test pcr atau kalo rapid test juga bisa?,SE Satgas-17-2021
2021-08-20 6:28:46,Min kalau dari semarang ke sampit pakai pcr atau antigen?,SE Satgas-17-2021
2021-08-20 14:32:38,"Min mau tanya kalo keberangkatan tgl 25-26 dari serui ke surabaya, menggunakan pcr atau antigen ya?",SE Satgas-17-2021
2021-08-22 4:07:48,Min mau tanya tujuan makassar-tanjungpriuk atau sebaliknya harus pakai HASIL PCR atau boleh antigen ? Kalau misal saya baru positif belum bisa vaksin smp 3 bulan kedepan itu bagaimana?,SE Satgas-17-2021
2021-08-24 13:56:44,Min mau tanya Bau-bau bitung apakah harus vaksin?,SE Satgas-17-2021
2021-08-25 23:35:57,kalau pakai surat jalan/ keterangan dokter untuk anak dbawah 12 thn gmn? karena hal mendesak ?,SE Satgas-17-2021
2021-08-29 5:05:29,Apakah tersedia vaksin yg belum vaksin sama sekali di pelabuhan Bitung untuk keberangkatan ke Banggai?,SE Satgas-17-2021
2021-08-29 8:51:25,Min jadwal Sinabung Banggai Sorong kapan? Terus kalau yg blum cukup umur untuk vaksin bagaimana? Soalnya adik saya mau berangkat sekolah ke Sorong SMP kelas 2 tapi waktu mau vaksin dosis 1 gak di terima...mohon bantuannya min,SE Satgas-17-2021
2021-08-29 9:54:23,"Min ,,Kalau umur 14 tahun tapi tidak di layani vaksin dosis pertama karna belum cukup umur… apakah bisa berangkat ?",SE Satgas-17-2021
2021-09-05 7:36:32,min kapan ada jadwal pelayaran lombok makassar? Dan bisa pakai Rapid antigen?,SE Satgas-17-2021
2021-09-07 1:58:14,min mau nanya kalau dari palembang ke batam harus pakai pcr ya?,SE Satgas-17-2021
2021-07-31 13:04:34,Min kalo anak di bawah 2 tahun mesti pcr atau antigen juga?,SE Kemenhub-59-2021
2021-08-01 16:08:27,Ambon-jakarta antigen bisa gk?,SE Kemenhub-59-2021
2021-08-01 16:08:49,syarat perjalanan Makassar-fakfak harus PCR dan antigen min?? atw apakah bisa antigen saja?? karna tes pcr Mahal min.. gak sanggup. mohon infonya,SE Kemenhub-59-2021
2021-08-02 2:26:46,Dari Ternate ke Bitung bisa antigen?,SE Kemenhub-59-2021
2021-08-02 3:09:57,Surabaya ke balikpapan harus pcr sama surat vaksin kah,SE Kemenhub-59-2021
2021-08-02 11:10:15,"Kalau rute ambon ke surabaya, persyaratannya selaiin vaksin, KTP, boleh rapid tes, maksudnya tanpa Tes PCR ?",SE Kemenhub-59-2021
2021-08-02 11:42:16,Untuk makassar ke labuan bajo tgl 23 harus pake rapid test atau pcr min?,SE Kemenhub-59-2021
2021-08-02 12:47:32,"Min apakah ada pengecualian tanpa sertifikat vaksin? Soalnya dari Balikpapan mau ke Makassar tapi belum vaksin Krn vaksin habis, KTP saya juga Makassar makanya sekalian vaksin di Makassar, bisa gak min?",SE Kemenhub-59-2021
2021-08-02 13:42:51,"Min, klo rute pekanbaru - batam adakah? Klo ada perlu surat vaksin jg atau cukup hasil antigen?",SE Kemenhub-59-2021
2021-08-02 17:17:54,Admin untuk rute semarang-kumai apa sudah bisa pakai rapid antigen ? Dan jadwal terdekat tgl berapa ya ?,SE Kemenhub-59-2021
2021-08-03 4:16:28,Apakah Tes PCR berlaku sampai masa PPKM selesai??,SE Kemenhub-59-2021
2021-08-03 5:14:47,Kalau brgkt dri sby harus PCR ya?,SE Kemenhub-59-2021
2021-08-03 12:25:39,Kak.. rute batam ke pelabuhan belinyu kapan ya. Dan antigen dan pcr nya gimana,SE Kemenhub-59-2021
2021-08-03 12:51:56,haloo min @pelni162 mau nanya bau-bau ke manokwari harus pcr atau antigen ya,SE Kemenhub-59-2021
2021-08-04 1:05:09,Pelabuhan menyediakan pcr/ antigen enggak ya? Surabaya,SE Kemenhub-59-2021
2021-08-04 2:42:16,Untuk perjalanan bulan agustus ini persyaratan buat anak usia 14 th pake vaksin apa ngga???@pelni162,SE Kemenhub-59-2021
2021-08-04 6:53:04,Pcr dan antigen? Atau boleh salah satu nya gan?,SE Kemenhub-59-2021
2021-08-07 1:00:36,untuk tujuan labuang bajo-Makassar apakah bisa berangkat kalo hanya test rapid?,SE Kemenhub-59-2021
2021-08-08 12:57:27,Makassar-serui ? Apakah harus menggunakan test PCR jga min atau bisa rapid antigen saja ?,SE Kemenhub-59-2021
2021-08-09 1:24:06,"Min ada solusi gk min, saya domisili medan min, kmrn harus ke batam lrn ortu meninggal, nie mw balik medan harus vaksin, saya ktp medan susah dpt vaksin min, solusi dong min, kerjaan udh nunggu min",SE Kemenhub-59-2021
2021-08-13 2:15:26,Min... Saya akan berangkat dari Batam ke Sumatera (Belawan) dalam waktu dekat ini naik kapal Kelud. Dan saya juga sudah di vaksin. Tapi hingga saat ini sertifikat saya belum keluar. Apakah bisa dengan hanya menunjukkan kartu vaksinasi nya saja min?,SE Kemenhub-59-2021
2021-08-18 12:41:41,"Tujuan rute Kupang Makassar pake rapid antigen atw pcr yaa,,,",SE Kemenhub-59-2021
2021-08-19 3:02:41,Min Surabaya - Banjarmasin boleh antigen saja?,SE Kemenhub-59-2021
2021-08-20 6:32:43,Min kalau dari makassar ke lombok apakah menggunakan PCR,SE Kemenhub-59-2021
2021-05-25 10:41:44,Jadi harus 3 test ya,SE Satgas-13-2021
2021-05-25 10:41:53,Atau cukup 1 test,SE Satgas-13-2021
2021-05-25 10:52:37,tertulis Rapid Antigen berlaku 3x24 jam.. Di lapangan kenyataan 1x24 jam.. Mana yg benar ini admin..?,SE Satgas-13-2021
2021-05-25 14:09:35,Tanya dong min. Kalo ke pelabuhan kumai harus RT-PCR atau pake antigen aja bisa.. ?,SE Satgas-13-2021
2021-05-25 14:49:58,Selamat malam.. mau tanya kalau untuk tujuan bitung-manokwari syarat berlaku Rapid antigen dan RT-PCR juga..?,SE Satgas-13-2021
2021-05-25 15:19:42,"Kalau dari surabaya ke pontianak ,berlaku tes Rapid Antigen / RT-PCR min ??",SE Satgas-13-2021
2021-05-25 16:11:32,Brp biaya test GeNose C19,SE Satgas-13-2021
2021-05-26 18:28:23,Min mau tanya kalo tujuan semarang pontianak itu  harus antigen apa bisa geNose min.,SE Satgas-13-2021
2021-05-28 0:50:59,Kalau Langsung kecabang berarti bisa beli tiket langsung tanpa hrs tes antigen?,SE Satgas-13-2021
2021-05-28 10:08:23,Min @pelni162 untuk bayi dibawah 1 tahun apa wajib tes jga?,SE Satgas-13-2021
2021-05-29 3:28:57,"Tgl 05 Juni keberangkatan dari Semarang ke sampit, tes pcr nya kapan min?",SE Satgas-13-2021
2021-05-29 23:36:07,Bang mau nanya kalau dari ambon ke manokwari rapid antigen nya berlaku brp hari,SE Satgas-13-2021
2021-05-31 2:56:24,"Min mau tanya, kalo dari pelabuhan surabaya tujuan sampit menggunakan PCR atau rapid? Biaya PCR/ Rapid brp ya?",SE Satgas-13-2021
2021-04-07 7:25:12,Berarti kalau mau tes genose nggak perlu tes antigen min? Atau tetep tes antigen nanti tes genose lagi?,SE Satgas-12-2021
2021-04-07 7:27:09,Kalau udh rapid antigen berarti nggak usah genose bukan??,SE Satgas-12-2021
2021-04-07 14:06:59,"min ,,, itu surat keterangannya tiga2 nya atau salah satunya aja?? trus anak umur 8 tahun dan 5 tahun keatas ,,, di tes genose aja boleh?????",SE Satgas-12-2021
2021-04-07 21:38:33,Untuk anak dibawah 3 tahun boleh cuma surat keterangan sehat saja tidak perlu rapid antigen kan???,SE Satgas-12-2021
2021-04-08 3:17:26,Pelabuhan makassar ada tes genose min??,SE Satgas-12-2021
2021-04-09 9:33:11,Min Pelayaran dalam NTT(KUPANG -Larantuka) harus rapid antigen juga ?,SE Satgas-12-2021
2021-04-10 23:24:05,"Min,, misal sudah tes genose di stasiun apakah harus tes genose lagi di pelabuhan?",SE Satgas-12-2021
2021-04-11 13:20:37,Kalau dari Surabaya ke Pontianak.. syaratnya hanya rapid test antigen aja kah min @pelni162,SE Satgas-12-2021
2021-04-12 14:15:18,"Min, klo sudah menunjukan sertifikat Telah di Vaksin bisa gak?",SE Satgas-12-2021
2021-04-18 7:19:55,"Dari sampit ke semarang , utk akhir mei apakah msih boleh pakai tes antigen??",SE Satgas-12-2021
2021-12-18 7:26:06,Untuk anak dibawah 12 tahun yg belum vaksin apakah boleh test antigen saja 1x24 jam sebelum pemberangkatan??,SE Kemenhub-110-2021
2021-12-18 9:17:10,"untuk rute tersebut persyaratannya wajib dengan vaksin dosis kedua di buktikan dengan aplikasi pedulilindungi, Antigen 1x24 jam. Dan anak di bawah 12 tahun dengan PCR TEST 3x24 Jam. Syarat tersebut untuk diatas tgl 24/12/21 - 02/01/22. Thx",SE Kemenhub-110-2021
2021-12-18 9:54:57,Untuk anak usia 1 tahun di pcr juga,SE Kemenhub-110-2021
2021-12-18 10:34:11,@pelni162 Kalau yg ada penyakit dan gak bisa vaksin Bisa gak,SE Kemenhub-110-2021
2021-12-18 10:42:55,Klo untuk tgl 24- 2 januari boleh pake pcr min ?,SE Kemenhub-110-2021
2021-12-18 10:47:12,Jika tidak ada dosis kedua apa masih bisa pak ?,SE Kemenhub-110-2021
2021-12-18 12:09:58,untuk yang belum bisa vaksin karena alasan medis tidak bisa melakukan pelayaran sesuai dengan ketentuan yang berlaku saat ini. Thx,SE Kemenhub-110-2021
2021-12-18 12:12:52,dengan Hasil PCR Test bisa di lakukan. Thx,SE Kemenhub-110-2021
2021-12-18 12:14:00,"sesuai dengan persyaratan yang berlaku saat ini, maka vaksin dengan dosis pertama tidak bisa melakukan pelayaran. Thx",SE Kemenhub-110-2021
2021-12-18 12:15:28,untuk Antigen dan PCR hanya tersedia di pelabuhan Tg. Priok. Thx,SE Kemenhub-110-2021
2021-12-18 15:42:07,Anak bayi usia 2 bulan gimana ? PCR juga ?,SE Kemenhub-110-2021
2021-12-18 16:56:29,di perlukan Antigen.,SE Kemenhub-110-2021
2021-12-18 18:54:34,Min kalo tgl 20 brangkat dari papua barat ke papua vaksin ke 1 masih berlaku to min. karna jadwal vaksin ke 2 masih lama ???,SE Kemenhub-110-2021
2021-12-18 19:38:41,masih bisa untuk vaksin pertama.,SE Kemenhub-110-2021
2021-12-19 1:38:31,"@pelni162 kata dokter saya gak bisa vaksin, jadi gimana dong?",SE Kemenhub-110-2021
2021-12-19 4:48:55,Min keberangkatan Jakarta Makassar tanggal 24 itu dosis pertama bisa ga?  Trus PCR atau antigen yah. Mohon d jawab min,SE Kemenhub-110-2021
2021-12-19 5:25:14,"Dosis pertama bisa ga?  Soalnya disitus pelninya dosis pertama asal, bawa antigen",SE Kemenhub-110-2021
2021-12-19 7:00:24,"per tanggal 24 Desember 2021 untuk di atas 12 tahun wajib vaksin dosis 2 dan tes covidnya rapid antigen, untuk di bawah 12 tahun tes covidnya PCR test.",SE Kemenhub-110-2021
2021-12-19 9:05:53,"persyaratan masuk sorong di khususkan berKTP papua barat, sertifikat vaksin, mengisi eHAC di aplikasi Peduli Lindungi, vaksin dosis kedua menggunakan antigen 1x24 jam sebelum keberangkatan.",SE Kemenhub-110-2021
2021-12-19 12:14:56,"untuk ditanggal tersebut tidak bisa, wajib vaksin dosis ke dua ditanggal 31/12/2021.",SE Kemenhub-110-2021
2021-12-19 13:31:08,untuk keberangkatan di bawah tanggal 24 masih bisa dengan vaksin dosis pertama.,SE Kemenhub-110-2021
2022-01-03 5:49:22,Vaksinasi dosis lengkap hanya berlaku sampai tgl 2 saja..?,SE Kemenhub-110-2021
2022-01-03 5:55:58,"Sudah tgl 3 januari ini admin, apakah vaksin dosis pertama sudah di diperbolehkan",SE Kemenhub-110-2021
2022-01-04 5:20:41,@pelni162 bagaimana syarat vaksin saat ini? Sudah ada update?,SE Kemenhub-110-2021
2022-01-04 8:39:45,"@pelni162 dari tj. Priok ke tj. Balai karimun. Adek saya mau naik, tapi baru vaksin 1. Karena memang belum bisa vaksin 2, jeda waktunya belum mencukupi.",SE Kemenhub-110-2021
2022-01-04 9:19:53,Untuk saat ini sudah bisa menggunakan vaksin tahap 1.,SE Kemenhub-110-2021
2022-01-05 6:52:44,@pelni162 untuk rapid test nya pakai apa ya?,SE Kemenhub-110-2021
2022-01-05 7:40:55,bisa menggunakan rapid test antigen 1 x 24 jam sebelum keberangkatan kapal pembuatan nya difasilitas kesehatan yang terafiliasi dengan Kementerian Kesehatan.,SE Kemenhub-110-2021
2021-12-18 5:16:01,Maaf min untuk yg satu dosis gmn,SE Kemenhub-110-2021
2021-12-18 9:02:34,"Mau Konfirmasi Min, Anak usia 5 tahun Tidak Wajib Antigen/ pcr ???",SE Kemenhub-110-2021
2021-12-20 3:23:42,"Selamat siang, apakah bayi umur 10 bln harus tes antigen atau swab ?",SE Kemenhub-110-2021
2021-10-24 3:07:07,Apakah harus melampirkan surat tes antigen atau swab dulu ya?,SE Satgas-21-2021
2021-10-24 15:17:23,Nanti saja jalan jalannya sampai tanpa tes PCR,SE Satgas-21-2021
2021-10-25 4:44:30,"Assalamualaikum, Jadi anak dibawah 12 tahun, ngga perlu swab antigen lagi yah???",SE Satgas-21-2021
2021-11-01 23:10:57,"Misi mau tanya , Batam Jakarta pakai pcr/ Bisa antigen saja?",SE Satgas-21-2021
2022-01-03 2:56:27,Selamat siang pak… saya mau menanyakan syarat naik kapal tujuan Surabaya-merauke tanggal 4 Januari 2022 sudah bisakah pakai surat vaksin pertama,SE Satgas-21-2021
2021-09-08 4:42:00,Minta info apakah dipelabuhan banjarmasin sudah ada tempat untuk melengkapi syarat² seperti vaksin atau repid tersebut dan itu gratis atau berbayar,SE Satgas-17-2021
2021-09-14 2:07:01,"Admin sy SDH terdaftar di aplikasi peduli lindungi , tp blm muncul sertifikat vaksin , apa SDH bs utk naik kapal Pelni , terimakasih",SE Satgas-17-2021
2021-09-15 6:11:56,Min mohon info jabwal KM egon tujuan surabaya-waingapu bulan oktober. Dan apakah harus ada hasil tes PCR bukan hanya rapid tes sjah?,SE Satgas-17-2021
2021-09-18 2:00:47,Min... Kalau dr pelabuhan makassar ke surabaya Apakah hrus pakai syarat tes PCR atau cukup rapid test aja buat yg sdh vaksin 2 dosis?,SE Satgas-17-2021
2021-09-19 15:47:45,Mohon infonya kalo dari Pontianak ke Jakarta pakai antigen sama vaksin bisa ga?,SE Satgas-17-2021
2021-08-13 13:33:44,Berarti rakyat telah d vaksin dan sudah memiliki sertifikat Vaksin sama sekali tidak berguna sertifikat vaksin..... utk memudahkan perjalanan..... Antar provinsi maupun kabupaten.....Pemerintah negara Indonesia sangat2 memeras rakyat..... Anda pikir PCR murah ???Pemerintah jangan biadab kepada rakyat..... Kasian rakyat ekonomi ke bawa....,SE Satgas-17-2021
2021-08-13 14:06:18,Berarti pake rapit tes Antigen bs yah pak,SE Satgas-17-2021
2021-08-13 14:12:56,"Calon penumpang harus sudah vaksin,, Apa semua petugas PELNI juga sudah divaksin...???",SE Satgas-17-2021
2021-08-13 14:54:43,Mohon kejelasan... saya akan melakukan perjalanan dari Bitung tujuan Ambon dengan Dorolonda dan tidak memiliki surat vaksin 1 karena dokter belum memperbolehkan saya vaksin karena masalah kesehatan. Apakah surat keterangan dokter itu berlaku untuk keberangkatan saya.. jika tidak berlaku apa yang harus saya lakukan..? Tolong jangan mempersulit.,SE Satgas-17-2021
2021-08-13 17:58:47,Min apakah harus ada sertifikat vaksin perjalanan dari ende ke bima?,SE Satgas-17-2021
2021-08-13 20:24:08,Hubungannya Apa Sertifikat Vaksin sebagai syarat pembelian tiket pelni....,SE Satgas-17-2021
2021-08-17 22:59:47,Bau2-priok pake Rapid antigen bisa?,SE Satgas-17-2021
2021-08-20 12:26:59,Klau tujuan sorong jayapura gmn vaksin lg Dan tiket sorong jayapura sudah ada kak,SE Satgas-17-2021
2021-08-22 3:04:23,Berarti bisa pake rapid test ya min kalo dari jakarta ke ambon?,SE Satgas-17-2021
2021-07-29 6:00:02,Apa bisa surat vaksin saja karna sertifikat nya gak ada?,SE Kemenhub-59-2021
2021-07-29 7:17:47,Kalau dri bali ke kupang apakah hrs pcr jga,SE Kemenhub-59-2021
2021-07-29 9:11:49,Info persyaratan jakarta ke makassar bisa pakai rapit antigen saja kah?,SE Kemenhub-59-2021
2021-07-29 14:37:27,"Admin saya mau bertanya… persyaratan dri  NTT masuk Makassar kata nya hrus PCR ya??? Sy dpt info dri grup Pelni Maumere ktax hrus PCR, swab antigen NDAk bs..",SE Kemenhub-59-2021
2021-07-29 23:28:29,"Saya menonton acara mata Najwa, malam Kamis lalu, di sana di bahasa mengenai vaksin sebagai persyaratan apapun. Menkes sendiri mengatakan bahwa, vaksin bukan menjadi syarat apapun, baik untuk perjalanan maupun syarat yang lainnya.",SE Kemenhub-59-2021
2021-07-30 13:41:11,Tapi biar bukan warga Balikpapan harus vaksin juga kah atau gimana,SE Kemenhub-59-2021
2021-07-30 13:42:06,sy dr lampung mau naik kapal dr jakarta ke makassar tapi blm dapat vaksin.. apakah ada cara lain biar bisa berangkat tanpa surat vaksin,SE Kemenhub-59-2021
2021-07-30 14:48:51,Ambon Makassar pake surat apa aja,SE Kemenhub-59-2021
2021-07-30 17:34:50,"Mohon maaf, suami saya mau berangkat Sorong- Makassar sudah vaksin tapi belum dpt kartu sertifikat vaksin dosis 1 secara online, bagaimana ya?",SE Kemenhub-59-2021
2021-07-31 9:23:11,Maaf Pelayaran Nasional Indonesia mau tanya kalau dr pelabuhan lembar ke tanjung perak apakah harus menggunakan surat vaksin? Saat ini sangat susah mendapatkan vaksin di daerah kami,SE Kemenhub-59-2021
2021-08-01 13:16:18,Mw tanya pak Klw penumpang dari Gorontalo ke Luwuk itu pake rapid tes yg mana?,SE Kemenhub-59-2021
2021-08-01 23:49:42,Mau tanya persyaratan naik kpl leuser tgl 9 bln 8 di namrole tujuan bima bisa mengunakan rapid tes kalau blum ada vaksin,SE Kemenhub-59-2021
2021-08-02 0:50:12,Untuk rute Balikpapan ke parepare apakah harus pake surat Ket. Vaksin ?,SE Kemenhub-59-2021
2021-08-02 15:12:46,Apa bisa persyaratan dari Bitung ke Kendari pakai rapid antigen dan KET. Vaksin?,SE Kemenhub-59-2021
2021-08-13 1:30:37,"Jika seseorang belum di vaksin sama sekali atau belum mendapatkan jatah vaksin, apakah hanya antigen bisa..? untuk penyeberangan kumai surabaya.",SE Kemenhub-59-2021
2021-05-25 11:48:19,Berarti antigen berlaku 3 hari ya kak,SE Satgas-13-2021
2021-05-25 11:49:38,Kalau sudah di vaksin 2 kali apa juga antigen,SE Satgas-13-2021
2021-05-26 0:26:16,Klo antigen gratis siap saya mau mudik,SE Satgas-13-2021
2021-05-26 11:01:01,"Mohon maaf bertanya, apakah anak usia 3-6 tahun wajib rapit test antigen ketika mau naik kapal?",SE Satgas-13-2021
2021-05-27 3:18:30,Penumpang membawa surat Rapid antigen / rt-pcr atau hanya genose c19 saja atau ketiga tes tersebut harus dilaksanakan..?,SE Satgas-13-2021
2021-05-28 11:37:08,Untuk surabaya menuju kumai cukup pakai surat keterangan pcr atau antigen atau genose ?,SE Satgas-13-2021
2021-04-09 11:08:18,"Mau tanya pak kalau anak di bawah umur 5 tahun engga ada rapid tes dan pcr atau antigen nya,",SE Satgas-12-2021
2021-03-31 14:12:28,Untuk Perjalan Makassar ke Baubau sudah pake genose juga min?,SE Satgas-12-2021
2021-03-31 21:06:38,"Kalau dari pelabuhan Ambon, dan untuk ke ambon masih menggunakan rapid antigen ya min?",SE Satgas-12-2021
2021-04-01 2:00:46,Pelabuhan bitung blm pake tes genose kah?,SE Satgas-12-2021
2021-04-01 6:08:17,gmn dgn org yg sdh di vaksin 2 kali apakah hrus ttp melakukan tes genose ?,SE Satgas-12-2021
2021-04-01 7:55:09,Mau tanya lagi. apakah di pelabuhan pontianak tersedia fasilitas tes rapid antigen atau sejenisnya.,SE Satgas-12-2021
